STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/14/2004,2004,2,14,29,37,21
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/15/2004,2004,2,15,29,36,22
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/16/2004,2004,2,16,34.5,41,28
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/17/2004,2004,2,17,40,48,32
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/18/2004,2004,2,18,40,47,33
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/19/2004,2004,2,19,27,33,21
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/20/2004,2004,2,20,26.5,35,18
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/21/2004,2004,2,21,31,36,26
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/22/2004,2004,2,22,33,38,28
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/23/2004,2004,2,23,35.5,41,30
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/24/2004,2004,2,24,32.5,38,27
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/25/2004,2004,2,25,34.5,42,27
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/26/2004,2004,2,26,30.5,39,22
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/27/2004,2004,2,27,29.5,36,23
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/28/2004,2004,2,28,26.5,30,23
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,2/29/2004,2004,2,29,23,26,20
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/1/2004,2004,3,1,27,37,17
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/2/2004,2004,3,2,32,40,24
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/3/2004,2004,3,3,29,36,22
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/4/2004,2004,3,4,25,28,22
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,3/5/2004,2004,3,5,25.5,33,18
